x1,y1,x2,y2
296.8724,190.75336,285.627,190.52588
538.1518,256.39966,505.60428,257.5265
783.8515,48.120983,784.12964,11.863527
588.615,221.75127,589.6386,215.4644
144.45084,69.96548,135.6849,71.09137
999.3706,187.36786,1075.6233,187.55972
498.12506,190.74574,460.6249,190.7471
953.0388,14.336158,952.5312,48.134857
50.81045,14.375424,50.73324,48.12811
1084.8893,11.875571,1084.849,48.125526
179.37323,67.94962,206.89558,67.672905
345.61966,67.863396,385.63242,67.722115
411.87274,67.79109,453.124,67.834206
818.1239,67.79668,870.6252,67.82361
259.3737,76.01558,236.87395,75.94053
880.37946,154.38562,879.512,134.31506
701.8742,187.45908,776.8771,187.37071
899.36127,186.9878,975.6161,187.75748
999.4002,75.622604,998.4244,65.35884
395.62497,190.7176,360.62497,190.70326
736.85614,191.1658,701.8551,189.94522
140.6192,138.6676,149.3772,138.69592
212.68063,26.916237,212.9328,14.346068
656.2733,14.345346,655.752,46.897053
212.8382,48.127323,212.71661,33.108067
296.8675,67.648125,335.6216,67.79171
463.11978,67.34646,559.37646,67.63874
741.84674,67.756,760.61,68.00501
769.3748,67.77293,808.12604,67.75379
949.66046,48.12936,949.5079,14.368751
879.4914,163.11304,878.8297,156.67413
571.85815,67.58884,583.1288,67.68562
503.52252,138.12263,503.61902,154.37949
134.07002,164.40736,132.99263,154.25638
593.6305,211.57733,591.9064,223.12968
403.15228,157.15805,404.86377,164.55122
594.32495,198.97647,602.0176,198.01009
395.61057,67.74056,403.1273,67.79188
397.31628,119.37635,397.35217,74.37438
551.3126,142.02368,550.2773,129.40352
1240.4801,186.87599,1240.3767,171.8681
260.60297,187.48827,285.6438,187.78427
1096.8651,187.19623,1174.37,187.6812
159.33827,67.83382,169.37706,68.00071
840.21063,156.87831,840.1306,146.86896
909.3761,70.69176,883.12384,70.66802
668.1159,72.55154,711.87476,73.141174
638.1252,187.40352,679.3757,187.38808
163.12424,187.43364,239.37692,187.34874
479.36005,152.19629,491.89108,152.77913
741.3729,191.87468,741.3184,276.87546
1090.3969,10.195326,1096.3683,7.0251865
690.57574,9.943024,703.1007,9.038531
264.33328,67.36852,278.1352,67.69871
1155.7578,71.25854,1145.5427,70.531456
335.6335,123.680954,304.37317,123.54418
604.3765,123.60819,579.3728,123.68808
854.4066,123.35328,841.8856,123.62124
263.3042,135.62585,263.16608,164.3812
554.88007,139.32854,555.9377,150.8262
1.8918527,5.150115,26.907206,4.6062245
959.375,289.8312,641.875,289.82333
30.611656,52.883545,20.573233,53.438343
868.5576,124.59171,855.4883,122.99151
1198.1138,187.53177,1239.3771,187.77606
513.7478,215.4466,515.7816,222.5463
741.63007,71.86912,741.27576,161.86772
820.8422,13.123342,820.8818,48.12471
262.43634,74.314384,263.51816,84.33254
460.61676,187.56856,500.62665,187.73795
416.20285,10.160534,427.27063,7.0185933
166.47075,80.75627,167.85574,71.833206
1138.1102,138.45996,1148.1459,138.90373
1109.3746,69.73495,1064.3746,69.68783
844.5593,112.34704,842.54285,118.34936
1018.13,167.5566,983.1327,167.24985
738.1145,9.740936,750.62756,9.592373
1136.0973,96.87698,1135.9342,135.6263
1121.1729,74.37461,1121.2372,165.62544
344.53278,17.707466,348.5665,10.886078
254.38574,167.43143,220.61464,167.63216
1133.6039,116.89247,1133.1213,95.596756
304.37454,120.536804,335.6301,120.37766
