0,1,2,3
20.5,5.1,20.4,5.0
20.4,5.0,20.3,5.1
20.3,5.1,20.1,5.1
20.1,5.1,20.1,5.0
20.1,5.0,20.4,5.0
20.4,5.0,20.5,4.9
20.5,4.9,20.5,4.8
20.5,4.8,20.4,4.7
20.4,4.7,20.3,4.8
20.3,4.8,20.3,4.7
20.3,4.7,20.2,4.6
20.2,4.6,20.0,4.6
20.0,4.6,19.9,4.7
19.9,4.7,19.9,4.8
19.9,4.8,19.8,4.7
19.8,4.7,19.7,4.8
111.1,5.4,111.2,5.5
111.2,5.5,111.5,5.5
111.5,5.5,111.6,5.4
111.6,5.4,111.6,5.3
111.6,5.3,111.5,5.2
111.5,5.2,111.4,5.3
111.4,5.3,111.3,5.3
111.3,5.3,111.2,5.2
111.2,5.2,111.1,5.3
105.7,5.4,105.8,5.5
105.8,5.5,106.2,5.5
106.2,5.5,106.3,5.4
106.3,5.4,106.3,5.0
106.3,5.0,106.2,4.9
106.2,4.9,105.8,4.9
105.8,4.9,105.7,5.0
105.9,5.3,105.9,5.1
105.9,5.1,106.0,5.1
106.0,5.1,106.0,5.3
103.3,5.4,103.4,5.5
103.4,5.5,103.5,5.4
103.5,5.4,103.5,5.3
103.5,5.3,103.8,5.3
103.8,5.3,104.0,5.5
104.0,5.5,104.1,5.4
104.1,5.4,104.1,4.8
104.1,4.8,104.0,4.7
104.0,4.7,103.9,4.8
103.9,4.8,103.7,4.6
103.7,4.6,103.4,4.6
103.4,4.6,103.3,4.7
103.3,4.7,103.4,4.8
103.4,4.8,103.5,4.8
103.5,4.8,103.4,4.8
103.4,4.8,103.3,4.9
103.6,5.1,103.5,5.0
103.5,5.0,103.9,5.0
103.9,5.0,103.8,5.1
71.4,5.4,71.5,5.5
71.5,5.5,71.8,5.5
71.8,5.5,71.9,5.4
71.9,5.4,71.8,5.3
71.8,5.3,71.6,5.3
71.6,5.3,71.6,5.1
71.6,5.1,71.8,5.1
71.8,5.1,71.9,5.0
71.9,5.0,71.8,4.9
71.8,4.9,71.5,4.9
71.5,4.9,71.4,5.0
66.1,5.4,66.2,5.5
66.2,5.5,66.5,5.5
66.5,5.5,66.6,5.4
66.6,5.4,66.6,5.2
66.6,5.2,66.7,5.1
66.7,5.1,66.5,4.9
66.5,4.9,66.2,4.9
66.2,4.9,66.1,5.0
66.1,5.0,66.2,5.1
66.2,5.1,66.4,5.1
66.4,5.1,66.4,5.3
66.4,5.3,66.2,5.3
27.6,5.4,27.7,5.5
27.7,5.5,27.8,5.5
27.8,5.5,27.9,5.4
27.9,5.4,27.8,5.3
27.8,5.3,27.7,5.3
22.2,5.4,22.3,5.5
22.3,5.5,22.6,5.5
22.6,5.5,22.8,5.3
22.8,5.3,22.8,5.1
22.8,5.1,22.6,4.9
22.6,4.9,22.6,4.8
22.6,4.8,22.5,4.7
22.5,4.7,22.5,4.5
22.5,4.5,22.4,4.4
22.4,4.4,22.3,4.4
22.3,4.4,22.3,4.3
22.3,4.3,22.1,4.1
22.1,4.1,22.1,4.0
22.1,4.0,21.9,3.8
21.9,3.8,21.9,3.7
21.9,3.7,21.6,3.4
21.6,3.4,21.6,3.3
21.6,3.3,21.5,3.2
21.5,3.2,21.5,3.1
21.5,3.1,21.3,2.9
21.3,2.9,21.3,2.8
21.3,2.8,21.2,2.7
21.2,2.7,21.2,2.6
21.2,2.6,21.0,2.4
21.0,2.4,21.0,2.3
21.0,2.3,21.5,1.8
21.5,1.8,21.5,1.7
21.5,1.7,21.9,1.3
21.9,1.3,21.9,1.2
21.9,1.2,22.3,0.8
22.3,0.8,22.3,0.7
22.3,0.7,22.2,0.6
22.2,0.6,21.5,1.3
21.5,1.3,21.5,1.4
21.5,1.4,21.3,1.6
21.3,1.6,21.3,1.7
21.3,1.7,21.2,1.7
21.2,1.7,21.1,1.8
21.1,1.8,21.1,1.9
21.1,1.9,20.7,2.3
20.7,2.3,20.7,2.4
20.7,2.4,20.9,2.6
20.9,2.6,20.9,2.7
20.9,2.7,21.1,2.9
21.1,2.9,21.1,3.0
21.1,3.0,21.3,3.2
21.3,3.2,21.3,3.3
21.3,3.3,21.4,3.4
21.4,3.4,21.4,3.5
21.4,3.5,21.5,3.6
21.5,3.6,21.5,3.7
21.5,3.7,21.8,4.0
21.8,4.0,21.8,4.1
21.8,4.1,22.0,4.3
22.0,4.3,22.0,4.4
22.0,4.4,20.3,4.4
20.3,4.4,20.2,4.5
20.2,4.5,20.3,4.6
20.3,4.6,22.2,4.6
22.2,4.6,22.2,4.7
22.2,4.7,22.4,4.9
22.4,4.9,22.3,4.9
22.3,4.9,22.2,5.0
22.2,5.0,22.3,5.1
22.3,5.1,22.4,5.1
22.4,5.1,22.5,5.2
22.5,5.2,22.5,5.3
22.5,5.3,22.3,5.3
63.6,5.5,63.7,5.6
63.7,5.6,63.8,5.5
63.8,5.5,63.8,5.4
63.8,5.4,63.9,5.4
63.9,5.4,64.0,5.3
64.0,5.3,64.2,5.3
64.2,5.3,64.3,5.4
64.3,5.4,64.4,5.4
64.4,5.4,64.5,5.3
64.5,5.3,64.5,4.9
